dataset,model,seed,label,pred,text,word_count,char_count,failure_mode,notes
agnews_main,DistilBERT,42,0,1,"USC, Miami Top BCS Standings, Not Okla. Southern California took the top spot Monday in the season's first Bowl Championship Series standings, and surprisingly Miami is ahead of Oklahoma in a close race for the second spot. Oklahoma is No...",40,241,ambiguity,
agnews_main,DistilBERT,42,0,3,"Black Market in British Treasure Sold on EBay (Reuters) Reuters - Pieces of Britain's past, including a second-century silver ring and a 500-year-old Tudor trade weight, are among artifacts being peddled daily on the Internet to the alarm of experts at the British Museum.",44,272,rare_vocabulary,
agnews_main,DistilBERT,42,3,2,"PeopleSoft down on testimony, forecast Investors react to a disappointing earnings projection and to testimony that dampens hopes of negotiations with Oracle.",22,158,ambiguity,
agnews_main,DistilBERT,42,2,3,"Important Rules for Phone Market Face F.C.C. Vote Next week, the FCC will likely change the rules on unbundled networks largely in ways favorable to the Regional bells.",28,168,ambiguity,
agnews_main,DistilBERT,42,3,2,"A #39;Plan B #39; for PeopleSoft customers com September 20, 2004, 6:13 PM PT. This fourth priority #39;s main focus has been improving or obtaining CRM and ERP software for the past year and a half.",36,199,rare_vocabulary,
agnews_main,DistilBERT,42,2,3,"CA to buy Netegrity for $430 million com October 6, 2004, 7:36 AM PT. This fourth priority #39;s main focus has been improving or obtaining CRM and ERP software for the past year and a half.",36,190,rare_vocabulary,
agnews_main,DistilBERT,123,3,2,"Optimism Drives Google Shares to New Highs (Reuters) Reuters - Stock of Google Inc. powered to new highs on Friday, buoyed by the web search leader's new products and growth prospects, which complement its recent strong financial results, analysts said.",40,253,ambiguity,
agnews_main,DistilBERT,42,3,2,"Shock Jock Group Boosts Satellite Radio Profile When radio shock jocks Opie and Anthony considered their next career move after two firings in four years, the twisted twosome was ready to feign rehabilitation. Or at least that was the plan when they sat down with satellite radio executives.",48,291,ambiguity,
agnews_main,DistilBERT,42,3,2,"Cingular to Reduce Work Force by Roughly 10 Percent, CEO Says Cingular Wireless LLC, the nation's largest cell phone company, will cut about 10 percent of its 68,000 jobs over the next 12 to 18 months as it combines operations with the recently acquired AT T Wireless, Cingular's chief executive said Tuesday.",52,309,ambiguity,
agnews_main,DistilBERT,42,3,0,"The Shockwaves of Sumatra The Indian Ocean earthquake of December 2004 produced a shockwave that created tsunamis all across the Indian Ocean. The tsunamis hammered nearby Indonesia and struck as far as the coast of East Africa. The death toll has climbed over 100,000 and continues to grow. It also created social shockwaves.",53,326,rare_vocabulary,
